taxonomy_id	name	rank	lineage	SRR13439799_p_compressed+h+v.centrifuge	SRR13439802_p_compressed+h+v.centrifuge	SRR13439790_p_compressed+h+v.centrifuge	SRR13439813_p_compressed+h+v.centrifuge
403	Methylococcaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae	0	0	0	0
39773	Methylomicrobium	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomicrobium	0	0	0	0
271065	Methylotuvimicrobium alcaliphilum	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylotuvimicrobium;Methylotuvimicrobium alcaliphilum	1	0	0	3
135619	Oceanospirillales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales	0	0	0	2
135620	Oceanospirillaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae	0	0	0	0
28253	Marinomonas	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas	0	0	0	0
119864	Marinomonas mediterranea	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;Marinomonas mediterranea	1	0	0	2
68525	delta/epsilon subdivisions	clade	Bacteria;delta/epsilon subdivisions	0	0	0	0
28221	Deltaproteobacteria	class	Bacteria;delta/epsilon subdivisions;Deltaproteobacteria	0	0	0	2
69541	Desulfuromonadales	order	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales	0	0	0	0
213421	Desulfuromonadaceae	family	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae	0	0	0	0
18	Pelobacter	genus	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Pelobacter	0	0	0	0
19	Syntrophotalea carbinolica	species	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea;Syntrophotalea carbinolica	1	0	0	1
213115	Desulfovibrionales	order	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales	0	0	0	0
194924	Desulfovibrionaceae	family	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	0	0	0	0
872	Desulfovibrio	genus	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	0	0	0	2
44742	Desulfovibrio fairfieldensis	species	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio fairfieldensis	1	0	0	5
213118	Desulfobacterales	order	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales	0	0	0	0
213119	Desulfobacteraceae	family	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae	0	0	0	0
218207	Desulfatibacillum	genus	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfatibacillaceae;Desulfatibacillum	0	0	0	0
259354	Desulfatibacillum alkenivorans	species	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfatibacillaceae;Desulfatibacillum;Desulfatibacillum alkenivorans	1	0	0	3
28216	Betaproteobacteria	class	Bacteria;Pseudomonadota;Betaproteobacteria	0	4	0	139
80840	Burkholderiales	order	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	0	1	0	541
80864	Comamonadaceae	family	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	0	3	0	202
80865	Delftia	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	1	0	3	222
1783270	FCB group	clade	Bacteria;FCB group	0	0	0	1
68336	Bacteroidota/Chlorobiota group	clade	Bacteria;FCB group	0	0	0	5
976	Bacteroidota	phylum	Bacteria;FCB group;Bacteroidota	0	6	7	130
768503	Cytophagia	class	Bacteria;FCB group;Bacteroidota;Cytophagia	0	0	0	0
768507	Cytophagales	order	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales	0	1	2	1
89373	Cytophagaceae	family	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae	0	0	0	0
978	Cytophaga	genus	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga	0	0	0	0
985	Cytophaga hutchinsonii	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	1	14	0	24
319458	Leadbetterella	genus	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Leadbetterellaceae;Leadbetterella	0	0	0	0
316068	Leadbetterella byssophila	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Leadbetterellaceae;Leadbetterella;Leadbetterella byssophila	1	0	0	48
563798	Cyclobacteriaceae	family	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae	0	0	0	0
232244	Belliella	genus	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Belliella	0	0	0	0
232259	Belliella baltica	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Belliella;Belliella baltica	1	3	0	14
1853232	Hymenobacteraceae	family	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae	0	0	16	1
89966	Hymenobacter	genus	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	0	0	1	15
1446467	Hymenobacter swuensis	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter swuensis	1	0	1	7
117743	Flavobacteriia	class	Bacteria;FCB group;Bacteroidota;Flavobacteriia	0	0	0	0
200644	Flavobacteriales	order	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales	0	5	0	9
49546	Flavobacteriaceae	family	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	0	9	2	127
308865	Elizabethkingia	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia	0	4	0	13
172045	Elizabethkingia miricola	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia;Elizabethkingia miricola	1	1	0	130
326319	Dokdonia	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Dokdonia	0	0	0	2
326320	Dokdonia donghaensis	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Dokdonia;Dokdonia donghaensis	1	0	0	10
39782	Blattabacteriaceae	family	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Blattabacteriaceae	0	0	0	0
34098	Blattabacterium	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Blattabacteriaceae;Blattabacterium	0	0	0	0
340044	Blattabacterium cuenoti	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Blattabacteriaceae;Blattabacterium;Blattabacterium cuenoti	1	0	0	6
203691	Spirochaetota	phylum	Bacteria;Spirochaetota	0	0	0	0
203692	Spirochaetia	class	Bacteria;Spirochaetota;Spirochaetia	0	0	0	0
1643688	Leptospirales	order	Bacteria;Spirochaetota;Spirochaetia;Leptospirales	0	0	0	0
170	Leptospiraceae	family	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae	0	0	0	0
171	Leptospira	genus	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira	0	0	1	0
173	Leptospira interrogans	species	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira interrogans	1	0	0	2
28183	Leptospira santarosai	species	Bacteria;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira santarosai	1	0	0	0
136	Spirochaetales	order	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	0	0	0	0
137	Spirochaetaceae	family	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae	0	0	0	10
399320	Sphaerochaeta	genus	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Sphaerochaetaceae;Sphaerochaeta	0	0	0	1
1131707	Sphaerochaeta pleomorpha	species	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Sphaerochaetaceae;Sphaerochaeta;Sphaerochaeta pleomorpha	1	0	0	2
10239	Viruses	superkingdom	Viruses	0	0	0	9
439488	ssRNA viruses	clade	Viruses;Riboviria	0	0	0	0
35301	unclassified ssRNA negative-strand viruses	no rank	Viruses;Riboviria	0	0	0	0
11308	Orthomyxoviridae	family	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae	0	0	0	0
197911	Alphainfluenzavirus	genus	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus	0	0	0	0
11320	Influenza A virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	0	0	0	0
114727	H1N1 subtype	serotype	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae;H1N1 subtype	0	0	0	0
211044	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae;H1N1 subtype	12	0	0	0
35237	unclassified dsDNA viruses	no rank	Viruses	0	0	0	0
51368	unclassified dsDNA viruses	no rank	Viruses	0	0	0	0
1805626	Pithovirus	genus	Viruses;Pithoviruses;Pithovirus	0	0	0	0
